NO_(0.0, 0.0, 0.0)_(1.0, 1.0, 1.0)_(0.0, 0.0, 0.0, 1.0)
/
Cube_(67.1, 14.3, -593.3)_(133.0, 36.0, 108.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(-230.2, 14.3, -323.7)_(54.0, 36.0, 72.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(-283.7, 5.3, 108.9)_(54.0, 18.0, 72.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(-66.9, 14.3, 594.7)_(133.0, 36.0, 108.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(181.0, 14.3, 108.3)_(54.0, 36.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(177.5, 5.3, -252.0)_(54.0, 18.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(62.4, -6.7, -469.5)_(144.0, 36.0, 155.8)_(0.1, 0.0, 0.0, 1.0)
#
Cube_(59.3, -6.7, 471.2)_(144.0, 36.0, 155.8)_(0.0, 1.0, -0.1, 0.0)
#
Cube_(-290.3, 12.4, 113.2)_(29.5, 18.0, 88.3)_(0.1, 0.0, 0.0, 1.0)
#
Cube_(291.8, 12.4, -111.6)_(29.5, 18.0, 88.3)_(0.0, 1.0, -0.1, 0.0)
#
Cube_(252.2, 12.4, -344.1)_(29.5, 18.0, 88.3)_(-0.1, 0.7, -0.1, -0.7)
#
Cube_(302.6, 22.1, -344.5)_(20.3, 20.4, 30.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(-250.6, 12.4, 346.3)_(30.9, 18.0, 88.3)_(0.1, 0.7, -0.1, 0.7)
#
Cube_(-301.0, 22.1, 345.8)_(20.3, 20.4, 30.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(237.0, -5.0, 305.0)_(240.0, 1.8, 240.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(-2.0, -5.0, 305.0)_(240.0, 1.8, 240.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(-240.5, -5.0, 305.0)_(240.0, 1.8, 240.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(237.0, -5.0, 65.0)_(240.0, 1.8, 240.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(-2.0, -5.0, 65.0)_(240.0, 1.8, 240.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(-240.5, -5.0, 65.0)_(240.0, 1.8, 240.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(237.0, -5.0, -172.8)_(240.0, 1.8, 240.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(-2.0, -5.0, -172.8)_(240.0, 1.8, 240.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(-240.5, -5.0, -172.8)_(240.0, 1.8, 240.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(285.3, 14.3, -35.6)_(54.0, 36.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(156.0, 14.3, -395.6)_(45.0, 36.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(200.3, 14.3, -395.6)_(45.0, 36.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(245.3, 14.3, -395.6)_(45.0, 36.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(289.6, 14.3, -395.6)_(45.0, 36.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(156.0, 14.3, -465.1)_(45.0, 36.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(200.3, 14.3, -465.1)_(45.0, 36.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(245.3, 14.3, -465.1)_(45.0, 36.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(289.6, 14.3, -465.1)_(45.0, 36.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(156.0, 14.3, -537.2)_(45.0, 36.0, 73.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(200.3, 14.3, -537.2)_(45.0, 36.0, 73.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(245.3, 14.3, -537.2)_(45.0, 36.0, 73.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(289.6, 14.3, -537.2)_(45.0, 36.0, 73.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(156.0, 14.3, -608.7)_(45.0, 36.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(200.3, 14.3, -608.7)_(45.0, 36.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(245.3, 14.3, -608.7)_(45.0, 36.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(289.6, 14.3, -608.7)_(45.0, 36.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(-287.7, 14.3, -395.6)_(45.0, 36.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(-243.4, 14.3, -395.6)_(45.0, 36.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(-198.4, 14.3, -395.6)_(45.0, 36.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(-154.1, 14.3, -395.6)_(45.0, 36.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(-287.7, 14.3, -465.1)_(45.0, 36.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(-243.4, 14.3, -465.1)_(45.0, 36.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(-198.4, 14.3, -465.1)_(45.0, 36.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(-154.1, 14.3, -465.1)_(45.0, 36.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(-287.7, 14.3, -537.2)_(45.0, 36.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(-243.4, 14.3, -537.2)_(45.0, 36.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(-198.4, 14.3, -537.2)_(45.0, 36.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(-154.1, 14.3, -537.2)_(45.0, 36.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(-287.7, 14.3, -608.7)_(45.0, 36.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(-243.4, 14.3, -608.7)_(45.0, 36.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(-198.4, 14.3, -608.7)_(45.0, 36.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(-154.1, 14.3, -608.7)_(45.0, 36.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(-65.7, 14.3, -593.3)_(133.0, 36.0, 108.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(-123.0, 14.3, -198.7)_(54.0, 36.0, 36.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(-123.0, 14.3, -163.4)_(54.0, 36.0, 36.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(-176.3, 14.3, -198.7)_(54.0, 36.0, 36.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(-176.3, 14.3, -163.4)_(54.0, 36.0, 36.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(124.4, 5.3, -252.0)_(54.0, 18.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(177.5, 5.3, -323.5)_(54.0, 18.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(124.4, 5.3, -323.5)_(54.0, 18.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(-284.2, 14.3, -323.7)_(54.0, 36.0, 72.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(-230.2, 14.3, -251.7)_(54.0, 36.0, 72.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(-284.2, 14.3, -251.7)_(54.0, 36.0, 72.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(284.6, 5.3, -252.0)_(54.0, 18.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
